,order_id,start_state_abr,end_state_abr,start_city,end_city,start_zip,end_zip,total_volume_inches3,total_distance_miles,total_weight_lbs,total_predicted_hours
2729,12729,il,il,itasca,chicago,60143,60018,1.0,7.2047753,1.0,0.50777775
2730,12730,nv,ca,lasvegas,losangeles,89119,90045,576.0,236.62317,2.0,4.7683334
2731,12731,ny,ny,newyorkcity,newyorkcity,10021,10021,88.0,0.11938167,1.0,0.055555556
2732,12732,tx,tx,fortworth,dallas,76104,75230,880.0,35.36194,7.0,0.78333336
2733,12733,tx,tx,dallas,dallas,75231,75235,64.0,5.8362904,3.0,0.32472223
2734,12734,il,il,foxrivergrove,chicago,60021,60018,7776.0,21.709333,38.0,0.6838889
2735,12735,ca,ca,sanclemente,orange,92672,92868,2.0,27.270088,2.0,0.5911111
2736,12736,ca,ca,chino,highland,91708,92346,1.0,27.88895,1.0,0.87583333
2737,12737,or,or,portland,portland,97214,97230,1.0,5.4954963,1.0,0.29694444
2738,12738,ca,ca,carlsbad,lancaster,92010,93534,1600.0,119.42029,45.0,2.8152778
2739,12739,ca,ca,ranchocordova,eldoradohills,95670,95762,1728.0,12.457516,3.0,0.30166668
2740,12740,il,il,chicago,chicago,60638,60018,3456.0,15.042745,4.0,0.68416667
